;geneve-la-praille;val-ombre;geneve-aeroport;nyon;gland;aubonne;tolochenaz-morges;leman;aclens;daillens;chavorney;yverdon;payerne;avanches;broye;kerzers;lyss-ort;solothurn-zuchwil;niederbipp;neuendorf;harkingen;rickenbach-wangen;dulliken-sud;suhr;schafisheim;heitersberg;urdorf;zurich-aussersihl;zurich-nord;zurich-flughafen;aegert;winterthur;winterthur-hegi;frauenfeld;wil;uzwil-oberburen;gossaucst;st.-gallen-st.-fiden;oftringen-zofingen;dagmersellen;sursee;rothenburg;emmenbrucke;luzern-allmend;dulliken;sissach;liestal;mayenfels;basel-wolf;basel-gateway-nord;lyss;biel/bienne;pratteln-west;limmatstadt;wangen-dubendorf;schonbuhl;bern;bern-wankdorf;muri-gumligen;munsingen;heimberg-steffisburg;gwatt;bern-weyermannshaus;fribourg;crissier;lausanne-malley;zimeysa-meyrin
sursee;252.61;247.31;244.71;226.91;221.91;209.11;202.01;193.01;191.41;183.71;174.31;166.11;141.81;129.11;116.01;101.91;85.51;62.01;48.01;40.21;38.21;33.69;27;39.37;43.16;61.07;67.67;74.77;81.27;87.77;90.47;105.17;108.27;121.77;138.37;149.37;161.87;170.77;22.4;10.4;;14.9;18.2;22.4;28.5;45.7;52.7;56.76;64.41;70.41;87.31;95.96;58.06;63.17;92.57;100.51;106.51;111.46;116.94;125.52;136.52;145.86;111.51;134.01;196.01;200.06;249.71
rothenburg;267.51;262.21;259.61;241.81;236.81;224.01;216.91;207.91;206.31;198.61;189.21;181.01;156.71;144.01;130.91;116.81;100.41;76.91;62.91;55.11;53.11;48.59;41.9;54.27;58.06;75.97;82.57;89.67;96.17;102.67;105.37;120.07;123.17;136.67;153.27;164.27;176.77;185.67;37.3;25.3;14.9;;3.3;7.5;43.4;60.6;67.6;71.66;79.31;85.31;102.21;110.86;72.96;78.07;107.47;115.41;121.41;126.36;131.84;140.42;151.42;160.76;126.41;148.91;210.91;214.96;264.61
emmenbrucke;270.81;265.51;262.91;245.11;240.11;227.31;220.21;211.21;209.61;201.91;192.51;184.31;160.01;147.31;134.21;120.11;103.71;80.21;66.21;58.41;56.41;51.89;45.2;57.57;61.36;79.27;85.87;92.97;99.47;105.97;108.67;123.37;126.47;139.97;156.57;167.57;180.07;188.97;40.6;28.6;18.2;3.3;;4.2;46.7;63.9;70.9;74.96;82.61;88.61;105.51;114.16;76.26;81.37;110.77;118.71;124.71;129.66;135.14;143.72;154.72;164.06;129.71;152.21;214.21;218.26;267.91
luzern-allmend;275.01;269.71;267.11;249.31;244.31;231.51;224.41;215.41;213.81;206.11;196.71;188.51;164.21;151.51;138.41;124.31;107.91;84.41;70.41;62.61;60.61;56.09;49.4;61.77;65.56;83.47;90.07;97.17;103.67;110.17;112.87;127.57;130.67;144.17;160.77;171.77;184.27;193.17;44.8;32.8;22.4;7.5;4.2;;50.9;68.1;75.1;79.16;86.81;92.81;109.71;118.36;80.46;85.57;114.97;122.91;128.91;133.86;139.34;147.92;158.92;168.26;133.91;156.41;218.41;222.46;272.11
dulliken;227.11;221.81;219.21;201.41;196.41;183.61;176.51;167.51;165.91;158.21;148.81;140.61;116.31;103.61;90.51;76.41;60.01;36.51;22.51;14.71;12.71;8.19;1.5;13.87;17.66;35.57;42.17;49.27;55.77;62.27;64.97;79.67;82.77;96.27;112.87;123.87;136.37;145.27;6.1;18.1;28.5;43.4;46.7;50.9;;17.2;24.2;28.26;35.91;41.91;61.81;70.46;29.56;37.67;67.07;75.01;81.01;85.96;91.44;100.02;111.02;120.36;86.01;108.51;170.51;174.56;224.21
sissach;244.31;239.01;236.41;218.61;213.61;200.81;193.71;184.71;183.11;175.41;166.01;157.81;133.51;120.81;107.71;93.61;77.21;53.71;39.71;31.91;29.91;25.39;18.7;31.07;34.86;52.77;59.37;66.47;72.97;79.47;82.17;96.87;99.97;113.47;130.07;141.07;153.57;162.47;23.3;35.3;45.7;60.6;63.9;68.1;17.2;;7;11.06;18.71;24.71;79.01;87.66;12.36;54.87;84.27;92.21;98.21;103.16;108.64;117.22;128.22;137.56;103.21;125.71;187.71;191.76;241.41
liestal;251.31;246.01;243.41;225.61;220.61;207.81;200.71;191.71;190.11;182.41;173.01;164.81;140.51;127.81;114.71;100.61;84.21;60.71;46.71;38.91;36.91;32.39;25.7;38.07;41.86;59.77;66.37;73.47;79.97;86.47;89.17;103.87;106.97;120.47;137.07;148.07;160.57;169.47;30.3;42.3;52.7;67.6;70.9;75.1;24.2;7;;4.06;11.71;17.71;86.01;94.66;5.36;61.87;91.27;99.21;105.21;110.16;115.64;124.22;135.22;144.56;110.21;132.71;194.71;198.76;248.41
mayenfels;255.37;250.07;247.47;229.67;224.67;211.87;204.77;195.77;194.17;186.47;177.07;168.87;144.57;131.87;118.77;104.67;88.27;64.77;50.77;42.97;40.97;36.45;29.76;42.13;45.92;63.83;70.43;77.53;84.03;90.53;93.23;107.93;111.03;124.53;141.13;152.13;164.63;173.53;34.36;46.36;56.76;71.66;74.96;79.16;28.26;11.06;4.06;;7.65;13.65;90.07;98.72;1.3;65.93;95.33;103.27;109.27;114.22;119.7;128.28;139.28;148.62;114.27;136.77;198.77;202.82;252.47
basel-wolf;263.02;257.72;255.12;237.32;232.32;219.52;212.42;203.42;201.82;194.12;184.72;176.52;152.22;139.52;126.42;112.32;95.92;72.42;58.42;50.62;48.62;44.1;37.41;49.78;53.57;71.48;78.08;85.18;91.68;98.18;100.88;115.58;118.68;132.18;148.78;159.78;172.28;181.18;42.01;54.01;64.41;79.31;82.61;86.81;35.91;18.71;11.71;7.65;;6;97.72;106.37;8.95;73.58;102.98;110.92;116.92;121.87;127.35;135.93;146.93;156.27;121.92;144.42;206.42;210.47;260.12
basel-gateway-nord;269.02;263.72;261.12;243.32;238.32;225.52;218.42;209.42;207.82;200.12;190.72;182.52;158.22;145.52;132.42;118.32;101.92;78.42;64.42;56.62;54.62;50.1;43.41;55.78;59.57;77.48;84.08;91.18;97.68;104.18;106.88;121.58;124.68;138.18;154.78;165.78;178.28;187.18;48.01;60.01;70.41;85.31;88.61;92.81;41.91;24.71;17.71;13.65;6;;103.72;112.37;14.95;79.58;108.98;116.92;122.92;127.87;133.35;141.93;152.93;162.27;127.92;150.42;212.42;216.47;266.12
lyss;168.9;163.6;161;143.2;138.2;125.4;118.3;109.3;107.7;100;90.6;82.4;58.1;45.4;32.3;18.2;1.8;25.3;39.3;47.1;49.1;53.62;60.31;72.68;76.47;94.38;100.98;108.08;114.58;121.08;123.78;138.48;141.58;155.08;171.68;182.68;195.18;204.08;64.91;76.91;87.31;102.21;105.51;109.71;61.81;79.01;86.01;90.07;97.72;103.72;;8.65;91.37;96.48;125.88;16.8;22.8;27.75;33.23;41.81;52.81;62.15;27.8;50.3;112.3;116.35;166
biel/bienne;177.55;172.25;169.65;151.85;146.85;134.05;126.95;117.95;116.35;108.65;99.25;91.05;66.75;54.05;40.95;26.85;10.45;33.95;47.95;55.75;57.75;62.27;68.96;81.33;85.12;103.03;109.63;116.73;123.23;129.73;132.43;147.13;150.23;163.73;180.33;191.33;203.83;212.73;73.56;85.56;95.96;110.86;114.16;118.36;70.46;87.66;94.66;98.72;106.37;112.37;8.65;;100.02;105.13;134.53;25.45;31.45;36.4;41.88;50.46;61.46;70.8;36.45;58.95;120.95;125;174.65
pratteln-west;256.67;251.37;248.77;230.97;225.97;213.17;206.07;197.07;195.47;187.77;178.37;170.17;145.87;133.17;120.07;105.97;89.57;66.07;52.07;44.27;42.27;37.75;31.06;43.43;47.22;65.13;71.73;78.83;85.33;91.83;94.53;109.23;112.33;125.83;142.43;153.43;165.93;174.83;35.66;47.66;58.06;72.96;76.26;80.46;29.56;12.36;5.36;1.3;8.95;14.95;91.37;100.02;;67.23;96.63;104.57;110.57;115.52;121;129.58;140.58;149.92;115.57;138.07;200.07;204.12;253.77
limmatstadt;261.78;256.48;253.88;236.08;231.08;218.28;211.18;202.18;200.58;192.88;183.48;175.28;150.98;138.28;125.18;111.08;94.68;71.18;57.18;49.38;47.38;42.86;36.17;23.8;20.01;2.1;8.7;15.8;22.3;28.8;31.5;46.2;49.3;62.8;79.4;90.4;102.9;111.8;40.77;52.77;63.17;78.07;81.37;85.57;37.67;54.87;61.87;65.93;73.58;79.58;96.48;105.13;67.23;;33.6;109.68;115.68;120.63;126.11;134.69;145.69;155.03;120.68;143.18;205.18;209.23;258.88
wangen-dubendorf;291.18;285.88;283.28;265.48;260.48;247.68;240.58;231.58;229.98;222.28;212.88;204.68;180.38;167.68;154.58;140.48;124.08;100.58;86.58;78.78;76.78;72.26;65.57;53.2;49.41;31.5;24.9;17.8;11.3;4.8;2.1;16.8;19.9;33.4;50;61;73.5;82.4;70.17;82.17;92.57;107.47;110.77;114.97;67.07;84.27;91.27;95.33;102.98;108.98;125.88;134.53;96.63;33.6;;139.08;145.08;150.03;155.51;164.09;175.09;184.43;150.08;172.58;234.58;238.63;288.28
schonbuhl;182.1;176.8;174.2;156.4;151.4;138.6;131.5;122.5;120.9;113.2;103.8;95.6;71.3;58.6;45.5;31.4;15;38.5;52.5;60.3;62.3;66.82;73.51;85.88;89.67;107.58;114.18;121.28;127.78;134.28;136.98;151.68;154.78;168.28;184.88;195.88;208.38;217.28;78.11;90.11;100.51;115.41;118.71;122.91;75.01;92.21;99.21;103.27;110.92;116.92;16.8;25.45;104.57;109.68;139.08;;6;10.95;16.43;25.01;36.01;45.35;11;63.5;125.5;129.55;179.2
bern;188.1;182.8;180.2;162.4;157.4;144.6;137.5;128.5;126.9;119.2;109.8;101.6;77.3;64.6;51.5;37.4;21;44.5;58.5;66.3;68.3;72.82;79.51;91.88;95.67;113.58;120.18;127.28;133.78;140.28;142.98;157.68;160.78;174.28;190.88;201.88;214.38;223.28;84.11;96.11;106.51;121.41;124.71;128.91;81.01;98.21;105.21;109.27;116.92;122.92;22.8;31.45;110.57;115.68;145.08;6;;4.95;10.43;19.01;30.01;39.35;5;69.5;131.5;135.55;185.2
bern-wankdorf;193.05;187.75;185.15;167.35;162.35;149.55;142.45;133.45;131.85;124.15;114.75;106.55;82.25;69.55;56.45;42.35;25.95;49.45;63.45;71.25;73.25;77.77;84.46;96.83;100.62;118.53;125.13;132.23;138.73;145.23;147.93;162.63;165.73;179.23;195.83;206.83;219.33;228.23;89.06;101.06;111.46;126.36;129.66;133.86;85.96;103.16;110.16;114.22;121.87;127.87;27.75;36.4;115.52;120.63;150.03;10.95;4.95;;5.48;14.06;25.06;34.4;9.95;74.45;136.45;140.5;190.15
muri-gumligen;198.53;193.23;190.63;172.83;167.83;155.03;147.93;138.93;137.33;129.63;120.23;112.03;87.73;75.03;61.93;47.83;31.43;54.93;68.93;76.73;78.73;83.25;89.94;102.31;106.1;124.01;130.61;137.71;144.21;150.71;153.41;168.11;171.21;184.71;201.31;212.31;224.81;233.71;94.54;106.54;116.94;131.84;135.14;139.34;91.44;108.64;115.64;119.7;127.35;133.35;33.23;41.88;121;126.11;155.51;16.43;10.43;5.48;;8.58;19.58;28.92;15.43;79.93;141.93;145.98;195.63
munsingen;207.11;201.81;199.21;181.41;176.41;163.61;156.51;147.51;145.91;138.21;128.81;120.61;96.31;83.61;70.51;56.41;40.01;63.51;77.51;85.31;87.31;91.83;98.52;110.89;114.68;132.59;139.19;146.29;152.79;159.29;161.99;176.69;179.79;193.29;209.89;220.89;233.39;242.29;103.12;115.12;125.52;140.42;143.72;147.92;100.02;117.22;124.22;128.28;135.93;141.93;41.81;50.46;129.58;134.69;164.09;25.01;19.01;14.06;8.58;;11;20.34;24.01;88.51;150.51;154.56;204.21
heimberg-steffisburg;218.11;212.81;210.21;192.41;187.41;174.61;167.51;158.51;156.91;149.21;139.81;131.61;107.31;94.61;81.51;67.41;51.01;74.51;88.51;96.31;98.31;102.83;109.52;121.89;125.68;143.59;150.19;157.29;163.79;170.29;172.99;187.69;190.79;204.29;220.89;231.89;244.39;253.29;114.12;126.12;136.52;151.42;154.72;158.92;111.02;128.22;135.22;139.28;146.93;152.93;52.81;61.46;140.58;145.69;175.09;36.01;30.01;25.06;19.58;11;;9.34;35.01;99.51;161.51;165.56;215.21
gwatt;227.45;222.15;219.55;201.75;196.75;183.95;176.85;167.85;166.25;158.55;149.15;140.95;116.65;103.95;90.85;76.75;60.35;83.85;97.85;105.65;107.65;112.17;118.86;131.23;135.02;152.93;159.53;166.63;173.13;179.63;182.33;197.03;200.13;213.63;230.23;241.23;253.73;262.63;123.46;135.46;145.86;160.76;164.06;168.26;120.36;137.56;144.56;148.62;156.27;162.27;62.15;70.8;149.92;155.03;184.43;45.35;39.35;34.4;28.92;20.34;9.34;;44.35;108.85;170.85;174.9;224.55
bern-weyermannshaus;193.1;187.8;185.2;167.4;162.4;149.6;142.5;133.5;131.9;124.2;114.8;106.6;82.3;69.6;56.5;42.4;26;49.5;63.5;71.3;73.3;77.82;84.51;96.88;100.67;118.58;125.18;132.28;138.78;145.28;147.98;162.68;165.78;179.28;195.88;206.88;219.38;228.28;89.11;101.11;111.51;126.41;129.71;133.91;86.01;103.21;110.21;114.27;121.92;127.92;27.8;36.45;115.57;120.68;150.08;11;5;9.95;15.43;24.01;35.01;44.35;;74.5;136.5;140.55;190.2
fribourg;154.6;149.3;146.7;128.9;123.9;111.1;104;95;93.4;85.7;76.3;68.1;43.8;31.1;18;32.1;48.5;72;86;93.8;95.8;100.32;107.01;119.38;123.17;141.08;147.68;154.78;161.28;167.78;170.48;185.18;188.28;201.78;218.38;229.38;241.88;250.78;111.61;123.61;134.01;148.91;152.21;156.41;108.51;125.71;132.71;136.77;144.42;150.42;50.3;58.95;138.07;143.18;172.58;63.5;69.5;74.45;79.93;88.51;99.51;108.85;74.5;;98;102.05;151.7
crissier;62.6;57.3;54.7;36.9;31.9;19.1;12;3;4.6;12.3;21.7;29.9;54.2;66.9;80;94.1;110.5;134;148;155.8;157.8;162.32;169.01;181.38;185.17;203.08;209.68;216.78;223.28;229.78;232.48;247.18;250.28;263.78;280.38;291.38;303.88;312.78;173.61;185.61;196.01;210.91;214.21;218.41;170.51;187.71;194.71;198.77;206.42;212.42;112.3;120.95;200.07;205.18;234.58;125.5;131.5;136.45;141.93;150.51;161.51;170.85;136.5;98;;4.05;59.7
lausanne-malley;66.65;61.35;58.75;40.95;35.95;23.15;16.05;7.05;8.65;16.35;25.75;33.95;58.25;70.95;84.05;98.15;114.55;138.05;152.05;159.85;161.85;166.37;173.06;185.43;189.22;207.13;213.73;220.83;227.33;233.83;236.53;251.23;254.33;267.83;284.43;295.43;307.93;316.83;177.66;189.66;200.06;214.96;218.26;222.46;174.56;191.76;198.76;202.82;210.47;216.47;116.35;125;204.12;209.23;238.63;129.55;135.55;140.5;145.98;154.56;165.56;174.9;140.55;102.05;4.05;;63.75
zimeysa-meyrin;7.7;2.4;5;22.8;27.8;40.6;47.7;56.7;58.3;66;75.4;83.6;107.9;120.6;133.7;147.8;164.2;187.7;201.7;209.5;211.5;216.02;222.71;235.08;238.87;256.78;263.38;270.48;276.98;283.48;286.18;300.88;303.98;317.48;334.08;345.08;357.58;366.48;227.31;239.31;249.71;264.61;267.91;272.11;224.21;241.41;248.41;252.47;260.12;266.12;166;174.65;253.77;258.88;288.28;179.2;185.2;190.15;195.63;204.21;215.21;224.55;190.2;151.7;59.7;63.75;
