;geneve-la-praille;val-ombre;geneve-aeroport;nyon;gland;aubonne;tolochenaz-morges;leman;aclens;daillens;chavorney;yverdon;payerne;avanches;broye;kerzers;lyss-ort;solothurn-zuchwil;niederbipp;neuendorf;harkingen;rickenbach-wangen;dulliken-sud;suhr;schafisheim;heitersberg;urdorf;zurich-aussersihl;zurich-nord;zurich-flughafen;aegert;winterthur;winterthur-hegi;frauenfeld;wil;uzwil-oberburen;gossaucst;st.-gallen-st.-fiden;oftringen-zofingen;dagmersellen;sursee;rothenburg;emmenbrucke;luzern-allmend;dulliken;sissach;liestal;mayenfels;basel-wolf;basel-gateway-nord;lyss;biel/bienne;pratteln-west;limmatstadt;wangen-dubendorf;schonbuhl;bern;bern-wankdorf;muri-gumligen;munsingen;heimberg-steffisburg;gwatt;bern-weyermannshaus;fribourg;crissier;lausanne-malley;zimeysa-meyrin
chavorney;78.3;73;70.4;52.6;47.6;34.8;27.7;18.7;17.1;9.4;;8.2;32.5;45.2;58.3;72.4;88.8;112.3;126.3;134.1;136.1;140.62;147.31;159.68;163.47;181.38;187.98;195.08;201.58;208.08;210.78;225.48;228.58;242.08;258.68;269.68;282.18;291.08;151.91;163.91;174.31;189.21;192.51;196.71;148.81;166.01;173.01;177.07;184.72;190.72;90.6;99.25;178.37;183.48;212.88;103.8;109.8;114.75;120.23;128.81;139.81;149.15;114.8;76.3;21.7;25.75;75.4
yverdon;86.5;81.2;78.6;60.8;55.8;43;35.9;26.9;25.3;17.6;8.2;;24.3;37;50.1;64.2;80.6;104.1;118.1;125.9;127.9;132.42;139.11;151.48;155.27;173.18;179.78;186.88;193.38;199.88;202.58;217.28;220.38;233.88;250.48;261.48;273.98;282.88;143.71;155.71;166.11;181.01;184.31;188.51;140.61;157.81;164.81;168.87;176.52;182.52;82.4;91.05;170.17;175.28;204.68;95.6;101.6;106.55;112.03;120.61;131.61;140.95;106.6;68.1;29.9;33.95;83.6
payerne;110.8;105.5;102.9;85.1;80.1;67.3;60.2;51.2;49.6;41.9;32.5;24.3;;12.7;25.8;39.9;56.3;79.8;93.8;101.6;103.6;108.12;114.81;127.18;130.97;148.88;155.48;162.58;169.08;175.58;178.28;192.98;196.08;209.58;226.18;237.18;249.68;258.58;119.41;131.41;141.81;156.71;160.01;164.21;116.31;133.51;140.51;144.57;152.22;158.22;58.1;66.75;145.87;150.98;180.38;71.3;77.3;82.25;87.73;96.31;107.31;116.65;82.3;43.8;54.2;58.25;107.9
avanches;123.5;118.2;115.6;97.8;92.8;80;72.9;63.9;62.3;54.6;45.2;37;12.7;;13.1;27.2;43.6;67.1;81.1;88.9;90.9;95.42;102.11;114.48;118.27;136.18;142.78;149.88;156.38;162.88;165.58;180.28;183.38;196.88;213.48;224.48;236.98;245.88;106.71;118.71;129.11;144.01;147.31;151.51;103.61;120.81;127.81;131.87;139.52;145.52;45.4;54.05;133.17;138.28;167.68;58.6;64.6;69.55;75.03;83.61;94.61;103.95;69.6;31.1;66.9;70.95;120.6
broye;136.6;131.3;128.7;110.9;105.9;93.1;86;77;75.4;67.7;58.3;50.1;25.8;13.1;;14.1;30.5;54;68;75.8;77.8;82.32;89.01;101.38;105.17;123.08;129.68;136.78;143.28;149.78;152.48;167.18;170.28;183.78;200.38;211.38;223.88;232.78;93.61;105.61;116.01;130.91;134.21;138.41;90.51;107.71;114.71;118.77;126.42;132.42;32.3;40.95;120.07;125.18;154.58;45.5;51.5;56.45;61.93;70.51;81.51;90.85;56.5;18;80;84.05;133.7
kerzers;150.7;145.4;142.8;125;120;107.2;100.1;91.1;89.5;81.8;72.4;64.2;39.9;27.2;14.1;;16.4;39.9;53.9;61.7;63.7;68.22;74.91;87.28;91.07;108.98;115.58;122.68;129.18;135.68;138.38;153.08;156.18;169.68;186.28;197.28;209.78;218.68;79.51;91.51;101.91;116.81;120.11;124.31;76.41;93.61;100.61;104.67;112.32;118.32;18.2;26.85;105.97;111.08;140.48;31.4;37.4;42.35;47.83;56.41;67.41;76.75;42.4;32.1;94.1;98.15;147.8
lyss-ort;167.1;161.8;159.2;141.4;136.4;123.6;116.5;107.5;105.9;98.2;88.8;80.6;56.3;43.6;30.5;16.4;;23.5;37.5;45.3;47.3;51.82;58.51;70.88;74.67;92.58;99.18;106.28;112.78;119.28;121.98;136.68;139.78;153.28;169.88;180.88;193.38;202.28;63.11;75.11;85.51;100.41;103.71;107.91;60.01;77.21;84.21;88.27;95.92;101.92;1.8;10.45;89.57;94.68;124.08;15;21;25.95;31.43;40.01;51.01;60.35;26;48.5;110.5;114.55;164.2
solothurn-zuchwil;190.6;185.3;182.7;164.9;159.9;147.1;140;131;129.4;121.7;112.3;104.1;79.8;67.1;54;39.9;23.5;;14;21.8;23.8;28.32;35.01;47.38;51.17;69.08;75.68;82.78;89.28;95.78;98.48;113.18;116.28;129.78;146.38;157.38;169.88;178.78;39.61;51.61;62.01;76.91;80.21;84.41;36.51;53.71;60.71;64.77;72.42;78.42;25.3;33.95;66.07;71.18;100.58;38.5;44.5;49.45;54.93;63.51;74.51;83.85;49.5;72;134;138.05;187.7
niederbipp;204.6;199.3;196.7;178.9;173.9;161.1;154;145;143.4;135.7;126.3;118.1;93.8;81.1;68;53.9;37.5;14;;7.8;9.8;14.32;21.01;33.38;37.17;55.08;61.68;68.78;75.28;81.78;84.48;99.18;102.28;115.78;132.38;143.38;155.88;164.78;25.61;37.61;48.01;62.91;66.21;70.41;22.51;39.71;46.71;50.77;58.42;64.42;39.3;47.95;52.07;57.18;86.58;52.5;58.5;63.45;68.93;77.51;88.51;97.85;63.5;86;148;152.05;201.7
neuendorf;212.4;207.1;204.5;186.7;181.7;168.9;161.8;152.8;151.2;143.5;134.1;125.9;101.6;88.9;75.8;61.7;45.3;21.8;7.8;;2;6.52;13.21;25.58;29.37;47.28;53.88;60.98;67.48;73.98;76.68;91.38;94.48;107.98;124.58;135.58;148.08;156.98;17.81;29.81;40.21;55.11;58.41;62.61;14.71;31.91;38.91;42.97;50.62;56.62;47.1;55.75;44.27;49.38;78.78;60.3;66.3;71.25;76.73;85.31;96.31;105.65;71.3;93.8;155.8;159.85;209.5
